LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
25.901797204,-80.157754953,722210030800,73000,2654,916,1342,967.4,11708.3,803.5,46884,41370.9,17059.2,66,0,9,1
25.90226147,-80.1546475117,722210032340,99300,3000,884,0,1773.5,10668.4,986.1,47305.5,41324.7,18082.7,58,0,1,2
25.9261212689,-80.1282938893,3122140030580,1604000,9140,1484,6970,8143.2,2416.9,7.2,58214.8,49161.3,17891.1,46,0,3,5
25.9286204707,-80.1414704516,722150012000,1225000,9350,3096,25519,3720.8,6775.6,36.7,57701.4,50234.3,14328.4,16,0,10,5
25.9294058818,-80.1394298492,722150011530,1830000,8800,4729,31661,4288.9,6130,10.4,58142.5,50464.3,14538.6,16,0,7,5
25.9302875937,-80.138128165,722150011240,1100000,8800,2520,20962,4616.9,5744.8,0,58584.9,50767.2,14581.5,31,0,11,4
25.9334230059,-80.1380844211,722100010710,1425000,9200,2676,26650,4329.7,5849,11.8,59673.3,51905.1,13751.1,42,0,12,4
25.9344503278,-80.138452801,722100011000,1270000,8800,3082,21648,4113.1,5981.9,15.6,59994.3,52284.2,13403.6,45,0,1,4
25.9374973065,-80.139083998,722100011740,1200000,8800,2932,34031,3609.3,6251.8,11.2,60991.5,53400.4,12493.5,30,0,12,4
25.9486101547,-80.123784232,3122020060590,900000,13570,2111,2801,7501.9,1510.1,218.2,62911.1,57407.5,14649.4,47,0,7,2
25.9488947784,-80.1229069885,3122020060470,715000,7500,4098,0,7890.7,1284.8,386.9,62834.1,57524.4,14978.8,61,0,2,4
25.9513415656,-80.1213901256,3122020510050,1550000,4402,3089,35539,8374,809.4,668,62028.6,58464.9,15174.2,1,0,6,5
25.9514535589,-80.1213818659,3122020510060,1650000,4402,3089,35539,8377.7,808.5,667.3,61988.4,58505.6,15164.8,1,0,5,5
25.956549643,-80.122559504,3122020330580,1200000,7290,3912,37296,8063.4,1224.7,328.8,60076.1,60076.1,14353.5,19,0,10,5
25.9566388427,-80.1239600693,3122020330710,1385000,5904,3678,1292,7574.6,1661.2,151.8,60022.8,60022.8,13879.2,10,0,11,5
25.956810508,-80.1230802948,3122020330780,1200000,5564,2978,31117,7847.3,1377.8,257,59988.7,59988.7,14132.4,9,0,12,5
25.9569408865,-80.1211070009,3122020330930,1100000,5500,2626,36208,8556.3,762.2,398.1,59983.9,59983.9,14802.7,10,0,7,5
25.9595193828,-80.1215048651,1912350040230,2600000,13125,3482,42460,8385.9,865.5,18.8,59042.4,59042.4,14469.2,30,0,5,4
25.9616156315,-80.1290411497,2822020320360,1365000,5000,3611,32658,5975.4,3365.7,545.1,58080,58080,11958.8,18,0,11,5
25.9678166313,-80.1384572549,2812340751260,1189900,4692,3236,0,2951.4,6580.7,1633.4,55656.6,55656.6,8745.6,17,0,1,5
25.9679820173,-80.1386415792,2812340751240,1100000,3912,3143,0,2907.1,6630.6,1682.5,55623.9,55623.9,8697.5,17,0,1,5
25.968266027,-80.1259119136,2812350640210,925000,7000,2802,0,7076.8,2470.7,134.8,55711,55711,12866.4,25,0,6,5
25.9688195691,-80.1375010799,2812340751580,747000,3063,2486,0,3292.2,6293.8,1421.5,55307.9,55307.9,9079.9,16,0,9,5
25.968949375,-80.1279847438,2812350560110,800000,4002,2868,0,6412.2,3162.1,238.8,55450.7,55450.7,12200,25,0,12,5
25.9709959518,-80.1381229916,2812340780720,750000,3335,2365,0,3103.1,6477.3,1781.3,54513.4,54513.4,8907.1,15,0,9,5
25.9718088515,-80.1361301575,2812340781930,897000,4512,2633,0,3790.5,5860.7,1110,54222,54222,9607.5,15,0,2,5
25.9720719756,-80.1373107473,2812340781750,1100000,4466,2586,0,3372,6228.7,1356,54142.4,54142.4,9195.6,15,0,4,5
25.9724851077,-80.1381998368,2812340781680,842000,3036,2365,0,3116.2,6557,1559.1,53972.6,53972.6,8946.2,14,0,6,5
25.9743818667,-80.1197463899,1912350010160,2400000,10796,4796,31937,9141.4,435.7,312.8,53750.2,53750.2,14994.2,13,0,4,5
25.8872805164,-80.1766668286,622290280100,355000,10200,1245,1112,1261.4,18219,4147.9,40475.4,38203.9,10600.3,21,0,2,2
25.8881396567,-80.178057756,622290280320,252500,10772,1101,1110,1803.7,18650.5,3921.7,40728.5,38669.8,10157.7,26,0,1,2
25.888513353,-80.1780707877,622290280170,225000,10674,1889,5215,1862.2,18636.9,3979.1,40865.2,38801.7,10159.3,69,0,5,2
25.8894233843,-80.1735801883,622290150270,108000,7260,878,158,624.3,17104.6,2987.5,41420.5,38558.2,11626,67,0,6,1
25.891947374,-80.1836685926,622300070070,155000,9372,1699,5526,4043.3,20361.1,2966.2,41932,40700.3,8381.5,71,0,12,2
25.8922233665,-80.1789822571,622300130010,118000,7230,1249,1214,2672.7,18803.6,4198.9,42198.1,40179.9,9908.7,58,0,12,2
25.8928846136,-80.182356682099993,622300050620,210000,9450,1193,3809,3786.6,19905.1,3506.1,42305.5,40826.7,8821.9,67,0,6,2
25.8930362491,-80.1746674346,622290350110,155000,8224,1879,2945,1480.7,17374.4,2753.2,42654.4,39906.5,11345.7,66,0,8,4
25.8932987116,-80.174677389,622290350120,289000,8090,2431,23707,1522,17372.6,2740.7,42750.2,39998.4,11347.3,46,0,4,4
25.8937648873,-80.1767658574,622290360030,180000,4950,1167,293,2222.4,18038.9,3394.6,42851,40427.6,10661.9,70,0,2,4
25.8939203602,-80.1800035795,622300110220,250000,8862,1804,3259,3222.8,19117.8,4369.5,42745.7,40853,9619.7,69,0,3,4
25.8951199577,-80.1734168625,622290250210,260000,10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,4,2
25.8951199577,-80.1734168625,622290250210,285000,10725,1877,1731,1391,16928.1,2283.7,43443.7,40449,11795.4,21,0,8,2
25.8951761516,-80.1851394069,622300061310,179000,6900,1317,906,4963.8,20791.8,3091.9,43076.7,41974,7957.6,26,0,4,2
25.8952027125,-80.1715830055,622290260230,175000,9088,1404,990,866.9,16331.4,1687,43566,40272.8,12404.7,67,0,4,2
25.8955446743,-80.1757701797,622290180040,216000,16006,1711,0,2144.3,17677.7,3032.5,43485.8,40861.1,11010,70,0,10,2
25.8957279461,-80.1716107595,622290260140,200000,8960,1617,70,963.9,16331.4,1686,43753.5,40455.9,12402.5,67,0,3,4
25.8960459609,-80.1732342977,622290250060,291500,10500,1638,0,1484.8,16859.9,2213.3,43784.9,40743.4,11870.9,21,0,11,4
25.8960551672,-80.1730001514,622290250070,280000,10500,1343,1140,1414.7,16779.2,2132.6,43798.4,40718.6,11944.3,21,0,9,2
25.8968126479,-80.1789209293,622290500411,260000,7650,1459,1900,3299.6,18714.7,4081.3,43860.3,41709.8,10005.2,21,0,5,2
25.8968452287,-80.1761042185,622290130130,180000,7800,1329,3935,2464.8,17808,3175.7,43951.4,41355.3,10948.4,69,0,7,2
25.8970000292,-80.1720956497,622290230390,300000,8220,2141,1439,1350.1,16489,1873.4,44186.5,40946.4,12267.9,65,0,7,4
25.8982585826,-80.1683641276,622290220750,230000,9360,1055,3042,713.3,15198.7,985.8,44847.1,40988.5,13469.1,26,0,12,2
25.8983020474,-80.1758263284,622290510350,130000,9111,902,880,2635.5,17684,3171.9,44485,41813.4,11059.2,67,0,3,1
25.8983096461,-80.1756232175,622290510360,135000,9111,2389,0,2575.4,17612.8,3102.3,44495.3,41790.3,11121.5,67,0,4,2
25.89925744,-80.1752729481,622290510170,155000,8580,1323,1369,2673,17482.5,3104.2,44850.7,42072.4,11256.6,66,0,10,2
25.8995099212,-80.1782129693,622290492282,160000,8633,1551,4466,3526.9,18435.6,4039.2,44831.6,42506.2,10287.3,36,0,6,2
25.9008043265,-80.1700110235,622200050270,247500,7620,1731,75,1733.1,15738.2,2003.5,45667.3,42042.1,13016.8,26,0,3,2
25.9010165372,-80.1856294488,622190070420,105000,7680,1144,4314,5943.4,20863.5,3021,45201.1,43977.1,7890.7,61,0,1,1
25.9012806298,-80.169971446,622200050520,185000,9108,2206,1565,1832.1,15715.4,2101.4,45836.5,42198.4,13034.6,61,0,10,2
25.9017514891,-80.1824870241,622190071130,145000,9000,1192,0,5160.6,19831.3,4062.9,45524.4,43802.1,8937.9,69,0,7,1
25.9019343324,-80.1781129652,622190070870,180000,8160,1796,1083,4009.3,18392.6,4370.3,45719.1,43323.5,10380.6,36,0,4,2
25.9021546567,-80.1807316738,622190070990,275000,9077,1730,3246,4752.3,19253.3,4651.4,45716,43714.7,9529.5,64,0,4,2
25.9023291054,-80.1670504727,622200060960,215000,9730,1154,2445,1378,14754.4,1603.9,46370.9,42277.7,14018.2,41,0,12,2
25.9025868631,-80.1700056486,622200061110,300033,10425,2219,5168,2153.2,15723.3,2425.5,46298.5,42649.5,13054.2,31,0,8,4
25.9026971799,-80.1670736582,622200060990,225000,9730,1399,0,1464.7,14761.3,1694,46504.8,42406.3,14022,66,0,9,2
25.9029284577,-80.1838590358,622190071560,218400,9525,1461,0,5764.1,20279.4,3644.1,45917.8,44368.5,8529.1,21,0,4,4
25.9029578161,-80.1630673721,622200160090,230000,8775,1969,27216,564.6,13444.3,1067.6,46847.8,42144.4,15341.4,63,0,8,2
25.9031540656,-80.1783270266,622190071900,228500,9525,1306,1891,4336.2,18463.2,4656.2,46148,43756.5,10347.8,26,0,11,4
25.9035957684,-80.1671272258,622200060660,171000,9730,2079,23528,1693.2,14784.6,1945.9,46819.1,42721.3,14034.2,66,0,2,2
25.9038118297,-80.1759612559,622190072350,150000,8636,1836,0,3914.8,17693.5,4188.9,46473.4,43710.9,11145.1,68,0,6,2
25.9039079019,-80.1642971087,622200240420,278000,8500,2045,16620,1086.9,13855.6,1535,47123.4,42596.4,14963.9,57,0,2,4
25.9039421218,-80.1720914886,622200060440,195000,10500,1112,648,2991,16418.4,3259.3,46679.2,43328.5,12413.4,66,0,4,2
25.9041478964,-80.176180745600007,622190072270,120000,8636,1023,0,4049.4,17770.1,4323.2,46585.1,43849.1,11073.8,69,0,3,1
25.9043114745,-80.1723349461,622200060390,259000,10500,1538,1540,3143,16506,3412.2,46802.7,43483.3,12334.7,21,0,8,2
25.9043284329,-80.1718848033,622200060370,250000,10500,1483,0,3035.9,16357.5,3297.3,46829.5,43441.8,12481.2,31,0,8,2
25.9047186144,-80.1848969648,622190101150,210000,9506,1140,3590,6408.6,20646.1,3417.3,46542.2,45098.6,8211,69,0,11,2
25.9047284136,-80.184705787,622190101140,336500,9506,1764,20337,6353.6,20577.9,3474,46548.1,45074.5,8268.4,21,0,7,4
25.9049857345,-80.1687928288,622200040250,235000,10016,1665,1036,2437.8,15352.9,2685.1,47229,43363.4,13492.3,65,0,3,2
25.9058598674,-80.1688348111,622200040090,132000,10031,1811,0,2662.7,15389.6,2942.4,47542.5,43674.2,13473.7,66,0,11,2
25.9065503178,-80.1749276331,622190150200,262000,9315,1217,0,4319.3,17411.3,4578.8,47495.2,44525,11471.4,21,0,11,2
25.9066887152,-80.1708558625,622200200110,120000,7946,1223,23935,3362.2,16085.2,3604.8,47735.5,44158.6,12810.8,67,0,11,1
25.9067065237,-80.1800895217,622190150800,289900,8100,2785,10388,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26,0,12,4
25.9068374355,-80.1673050663,622200390010,210000,12649,2138,2280,2529.6,14923.3,2935.6,47967.3,43872.2,13971.4,45,0,1,2
25.9069712987,-80.1736755675,622190150120,245000,8040,1744,2907,4124.6,17021.6,4353.2,47704.8,44545.6,11888.3,36,0,8,4
25.9073984083,-80.1857489253,622190061771,241000,9714,1871,3115,7202.2,20980.5,3434.3,47500.9,46101.7,7911.1,21,0,2,4
25.9074753562,-80.1842232014,622190061650,250000,17577,1397,15000,6811.2,20455.9,3888.4,47558.8,45928.4,8384.3,46,0,4,4
25.9077241152,-80.1778998859,622190061160,205000,8712,1239,0,5337.5,18426.1,5606.7,47815.1,45262.8,10494,65,0,2,2
25.9078385681,-80.1746434183,3022200023380,240000,8712,1580,2550,4568,17364.6,4795.4,47977.5,44945,11562.6,0,0,4,2
25.9079000828,-80.1866303254,622190060050,179000,13900,1030,0,7532,21271.7,3222.8,47668,46377.9,7606.9,31,0,4,2
25.9080799152,-80.1679541238,3022200023090,148900,9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,9,1
25.9080799152,-80.1679541238,3022200023090,177500,9900,1556,0,2973.7,15183.3,3424,48378.1,44362.6,13752.4,61,0,9,1
25.9090007924,-80.1806786125,622190140270,267500,8385,1445,0,6329.1,19387.7,5206.4,48194.3,46019.7,9580.4,62,0,9,2
25.909284319,-80.1739219533,3022200022690,140000,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,1,1
25.909284319,-80.1739219533,3022200022690,165000,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,6,1
25.9092981109,-80.1830952235,622190140140,300000,12655,1633,0,6987.4,20176.4,4501,48249.8,46412.8,8771.1,21,0,1,4
25.9093568695,-80.1816593407,622190140070,324000,8385,2313,0,6658,19722.5,4953.8,48303.9,46261.6,9255.6,21,0,12,4
25.9101134278,-80.1845277435,622190140730,220000,7320,1602,1564,7544.6,20697.9,4223.5,48514,46865,8316.8,31,0,7,4
25.9105355693,-80.1737965065,3022200022050,231000,9042,1382,0,4350.4,17219,4461.9,48980.1,45782.3,11766.6,21,0,2,2
25.9105560003,-80.1836724106,3022190270080,217000,10500,1544,803,7406.4,20412,4528,48719.1,46933.5,8559.6,31,0,5,4
25.9108132286,-80.1840412429,3022190390070,315000,7650,1811,21650,7518,20556.9,4478.2,48797,47054.4,8453.8,16,0,6,4
25.9109240694,-80.1761511512,622200010100,150000,8473,1302,27824,5021.9,17999.5,5005.3,49042.1,46173.3,11042.3,63,0,12,1
25.9110506909,-80.1820461351,3022190220060,165000,7500,2015,461,6857.1,19917.3,5092.3,48928.7,46894.1,9107,21,0,6,2
25.9114580637,-80.1820673903,3022190220040,270000,7500,1692,426,6830,19920.4,5156.6,49073.8,47032.4,9102.4,21,0,11,4
25.9118204644,-80.1751409529,3022200021110,170000,7918,1043,1870,4593.5,17644,4543.9,49417.9,46389.6,11148.8,62,0,12,2
25.9119311713,-80.1744840264,3022200021210,235000,9042,1540,4570,4385.7,17445.5,4340.9,49455.5,46335,11313.7,41,0,7,2
25.9120619198,-80.1756886724,622200130030,170000,8680,1105,588,4727.3,17806.6,4639.2,49485.2,46530.7,10938.4,64,0,8,2
25.9121536397,-80.16845088,3022200021490,105000,9042,1524,968,2510.4,15460.7,2820.3,49814.8,45834,12489.7,64,0,4,1
25.9121536397,-80.16845088,3022200021490,200000,9042,1524,968,2510.4,15460.7,2820.3,49814.8,45834,12489.7,64,0,10,1
25.9123749452,-80.172711819,3022200021290,155000,9042,1912,24920,3780.8,16858.9,3768.1,49688.7,46310.1,11601.8,64,0,9,2
25.9123749452,-80.172711819,3022200021290,170000,9042,1912,24920,3780.8,16858.9,3768.1,49688.7,46310.1,11601.8,64,0,9,2
25.9126559885,-80.1808826571,3022190000632,275000,12675,2656,0,6376.8,19533.4,5699.8,49487.4,47258.7,9378,36,0,10,4
25.9131205463,-80.1669114273,3022200023603,150000,9042,1582,16946,1900,14943.6,2246.5,50242.9,46036.6,12535.3,61,0,2,2
25.9132518153,-80.1729620394,3022200020840,155000,9042,1374,0,3782.7,16928.3,3663.1,49995.6,46640.4,11293.3,70,0,10,2
25.913356645,-80.1703433498,3022200020600,215000,9042,1763,0,2934.8,16066.8,2932.8,50151.3,46426.1,11762.6,65,0,5,2
25.9135711039,-80.1848723938,3022190160270,343000,8400,2197,2461,7629.8,20824.7,4765.6,49782.1,48083.7,8148.1,21,0,10,4
25.9138375772,-80.1771769034,3022200030100,270000,8250,2024,19964,5101.9,18290.6,4816.9,50073.6,47297.9,10201.7,62,0,5,4
25.9140925038,-80.174199268,3022200020080,149000,8910,1598,0,4134.7,17329.2,3882.5,50247.1,47054.2,10812.2,21,0,1,4
25.9144881241,-80.180966814,3022180140080,287000,8400,1994,2201,6321.8,19533.1,5934.5,50196,47934.3,9005.1,21,0,6,2
25.9145798764,-80.1804004022,3022180140180,200000,12691,1642,0,6105.4,19319,5718.1,50242.3,47894.9,9124.5,31,0,12,4
25.9148198291,-80.1765342829,722170200310,238000,8486,1644,2100,4874.6,18088.5,4514.6,50435.5,47555.3,10185.2,31,0,9,2
25.9150386851,-80.170065492,722170182740,183000,5000,1133,8171,2761.4,15977.5,2527.7,50786.8,47005.1,11355.4,21,0,10,2
25.9150561293,-80.1761060408,722170200120,300000,6760,1553,20772,4717.7,17937.7,4342.8,50554.9,47609.8,10200.1,21,0,9,4
25.9157225051,-80.1690394716,722170182350,197000,4500,1224,1153,2414.7,15638.4,2112.3,51087.6,47157,11383.3,26,0,12,4
25.9161595844,-80.1842872884,3022180330030,198000,8850,1612,21766,7416.1,20637.6,5422.5,50714.6,48877.2,7760.4,36,0,1,2
25.9168118944,-80.1714198552,722170181090,125000,5400,975,912,3219,16418.2,2707.1,51367.6,47753.3,10576.3,31,0,8,1
25.916844307,-80.1705358379,722170181100,138000,4500,923,1932,2937.9,16133.2,2427.2,51420.5,47684.9,10755.6,36,0,11,2
25.9169628682,-80.172016678,722170081840,113500,5850,1446,1788,3424.6,16620.4,2890.9,51386.8,47853.5,10406.5,41,0,10,1
25.9169894852,-80.1839059821,3022180320150,285000,8699,2127,4969,7298.4,20507.3,5689.2,51037.8,49133,7715.3,21,0,3,4
25.9170819484,-80.1708449504,722170181063,211000,4500,1105,420,3051.4,16236.3,2506.5,51490.9,47795.2,10623.4,26,0,11,4
25.9174023966,-80.174141974,722170081520,247000,6741,1663,3102,4132.1,17315.5,3553.9,51460,48209.9,9850.5,21,0,11,2
25.9177312537,-80.177092478,722170201330,294000,7215,1630,19042,5106.9,18286.3,4507.8,51471,48619.7,9196,21,0,5,4
25.9177573029,-80.1740670141,722170081500,269000,6250,1550,1857,4105.8,17266.7,3487.5,51612.2,48345.5,9767.6,26,0,10,4
25.9181564732,-80.1694467719,722170180110,191500,5000,1066,9996,2698.5,15788.8,1997.9,51934.7,48037.7,10623.4,31,0,10,2
25.9184703324,-80.1612227334,722160020100,320000,16561,2262,0,981.6,12979.4,0,52488.9,47496.5,12375,64,0,8,2
25.9185456145,-80.1813898011,722180120090,209000,6600,1098,3074,6552.9,19714.2,5876.7,51646.3,49363.1,8212.6,26,0,4,4
25.9185518307,-80.1698447644,722170121360,172000,6000,1159,1100,2868.9,15921.9,2115.9,52064.2,48217.9,10431.7,36,0,8,2
25.9189027326,-80.1819651642,722180100440,200000,8072,1258,2774,6757.1,19902.5,5947.6,51764.6,49555.6,7982.6,22,0,11,2
25.9192981875,-80.1795135506,722170090710,160000,6890,1709,3584,5981.3,19089.8,5226.9,51985.3,49430.1,8300.6,36,0,5,2
25.9193007826,-80.1821768602,722180100280,195000,6435,1143,836,6856.5,19985.7,5914.1,51912,49717.9,7868.9,16,0,2,4
25.9197340003,-80.1808883585,722180090460,319500,6600,1392,34777,6471.7,19567.6,5474.4,52085.4,49710.7,7922.5,16,0,9,4
25.9198042072,-80.1763441918,722170091680,152000,6300,957,480,5021.3,18056.3,4217.2,52260.9,49272,8721,31,0,9,2
25.9199923497,-80.1679891614,722170121190,185000,6600,1518,10278,2582.7,15317.3,1468.6,52686,48575.5,10460.6,26,0,10,2
25.9202933783,-80.172618138,722170080670,175600,6000,1239,2572,3955.4,16866.9,3014.1,52558.3,49066.5,9348,36,0,3,2
25.9203790871,-80.177693234,722170090530,274000,6480,1395,0,5520.7,18530.5,4518.7,52406.5,49592.6,8288.1,26,0,12,4
25.9204703706,-80.17006792,722170100090,211000,8400,1274,0,3231.3,15997.5,2137.5,52755,48918.8,9860,21,0,5,2
25.9206874123,-80.1721855006,722170080611,165000,5724,1145,1094,3893.4,16736.7,2876.5,52719.2,49165.7,9336.2,36,0,11,2
25.9211735356,-80.1835830925,722180160150,263000,8438,1540,19181,7425.8,20442.2,5836.6,52567.5,50508.7,7047.9,16,0,6,4
25.9218943556,-80.1845946477,3022180032740,180000,7875,1336,2270,7054.2,20824.6,5957.4,52802.8,50872.3,6664.8,31,0,11,2
25.9220446597,-80.1624232243,722160170720,250000,8400,1561,0,2124.7,13557.2,611.8,53710.4,48851.3,11227.7,64,0,10,2
25.9221220641,-80.1785663209,722170151230,225000,7500,1680,2827,6006.6,18856.2,4339.7,53019.6,50290.7,7607.6,31,0,1,2
25.922523304,-80.1628157804,722160160790,160000,6950,1524,2743,2299.9,13700.1,790.7,53860.4,49051.4,11019.8,62,0,5,2
25.9227651818,-80.179513041,722170150880,235000,7500,1808,6652,6385.4,19182.6,4444.1,53224.5,50609.6,7237,26,0,4,2
25.9228978525,-80.1642408785,722170051550,225000,5850,1881,3792,2740,14181.8,964.1,53909,49285.9,10582.7,31,0,7,2
25.922925027,-80.1752925066,722170060650,230000,7440,1400,1361,5172.5,17807.5,3310.5,53400,50229.3,8043,36,0,9,2
25.9234612004,-80.1829622292,722180111480,186000,6890,1576,2374,7001.7,20312.5,5179.8,53415.6,51232.4,6419.1,31,0,4,4
25.9235613377,-80.1701178185,722170051070,270000,5800,1688,420,3975.6,16122.6,2013.3,53848.6,49991.2,9038.5,21,0,3,4
25.9237715721,-80.1757151793,722170170350,147000,6697,1809,2688,5451.7,17939.1,3228.2,53721.8,50589.4,7730.3,46,0,4,2
25.9239137321,-80.1876971467,3022180031780,289000,15750,1440,704,5802.9,21850.8,5973.7,53486.4,51902.3,5568.2,21,0,12,4
25.9240448109,-80.1842317321,3022180031860,327000,8441,1646,21687,6558.4,20751.1,5388.5,53586.9,51561.4,6020.5,16,0,7,4
25.9243227858,-80.1730369081,722170060230,155000,7980,1266,2800,4860,17085.6,2421.4,53995.6,50511.2,8170.6,64,0,1,4
25.9247396996,-80.1818963777,722180111140,195000,6890,1279,1378,6903,19984.2,4619.7,53902.7,51557.2,6210.6,21,0,9,4
25.9260434489,-80.1829189418,722180110210,149900,6500,1155,1425,6324.7,20366.9,4597.1,54337,52101.6,5622.7,31,0,6,4
25.9285374213,-80.1773315148,722170130420,232000,7600,1439,1201,6911.3,18568.4,2590.6,55380.3,52391.4,6092.8,31,0,3,2
25.9285576627,-80.1768745147,722170130400,225000,7600,1461,4660,6830.7,18419.2,2468,55401.5,52354.5,6190.1,36,0,7,2
25.9285677127,-80.1766476175,722170130390,229000,7600,1553,916,6777.9,18343.2,2405.7,55411.8,52335.9,6237.1,26,0,5,4
25.928799775,-80.1775691804,722170130320,165800,7600,1120,0,6783.2,18650.3,2589.7,55462.3,52499.7,5964.8,36,0,12,2
25.9292965995,-80.2007357326,721130070470,145000,6750,1245,0,1467.8,26237.6,4958,55466.3,55376.8,1269.7,90,0,5,1
25.9294178303,-80.1603302657,722160010201,190000,8176,1401,226,2198.4,13015.3,217.3,56463.7,51328.5,10193.4,70,0,6,2
25.9295680735,-80.194928446,722070180080,185000,6300,1217,1748,2701,24368.9,5922.3,55528,54716,2512.4,31,0,1,2
25.929951026,-80.1840333811,722070150690,200000,9900,1539,1050,5041.1,20794.8,4006.3,55732.3,53559.7,4256.4,62,0,6,2
25.9299746614,-80.1833734354,722070150660,200000,7150,1370,3931,5173.8,20581,3832.2,55751.9,53496.9,4376,61,0,9,2
25.9302776776,-80.1868170269,722070140470,240000,7280,1640,5548,4321.8,21720.4,4661.2,55809.2,53977.8,3632.5,31,0,12,2
25.9303044975,-80.1945799476,722070060410,140000,6649,1377,2011,2583.9,24272.8,6212.8,55795.2,54920.8,2397.1,36,0,5,2
